,ts_code,chairman,manager,secretary,reg_capital,setup_date,province
62,601628.SH,王滨,苏恒轩,利明光,2826470.5,20030630,北京
63,688309.SH,牛斌,牛斌,钟穗丽,8001.0733,20060411,山东
64,688006.SH,曹骥,曹骥,傅风华,40100.0,20111121,浙江
65,601838.SH,王晖,王涛,罗铮,361225.1334,19970508,四川
66,601997.SH,张正海,夏玉琳,董静,321802.866,19970409,贵州
67,600926.SH,陈震山,宋剑斌,毛夏红,593020.0432,19960925,浙江
68,002950.SZ,崔金海,崔金海,杜先举,63326.5407,20020724,湖北
69,300768.SZ,郑树生,郑树生,邹禧典,40001.0,20080528,浙江
70,601005.SH,刘建荣,刘建荣,孟祥云,891860.2267,19970811,重庆
71,603517.SH,戴文军,戴文军,彭刚毅,60863.0695,20081217,湖南
72,002372.SZ,金红阳,金红阳,谭梅,157311.2988,19991012,浙江
73,601880.SH,魏明晖,孙德泉,王慧颖,1289453.5999,20051116,辽宁
74,300081.SZ,孟宪民,孟宪民,吴狄杰,52915.7876,20011103,北京
75,300170.SZ,陈迪清,黄益全,沈雁冰,88401.6939,20020715,上海
76,002484.SZ,陈卫东,陆军,王汉明,81829.5426,19581001,江苏
77,603938.SH,孙任靖,万柏峰,么大伟,15016.66,20061020,河北
78,603076.SH,黄粤宁,黄粤宁,吴再红,7450.0,19980915,浙江
79,688155.SH,潘延庆,王颖琳,徐强,7563.0036,20070328,上海
80,300870.SZ,王合球,王合球,尚韵思,10120.0,19960529,广东
81,688389.SH,刘先成,胡明龙,王红,42220.0,20080116,广东
82,688185.SH,Xuefeng YU,Xuefeng YU,王靖,24744.9899,20090113,天津
83,688138.SH,唐英敏,朱雪华,吴克强,26680.0,19970825,广东
84,002807.SZ,孙伟,宋萍,卞丹娟,217199.2453,20011203,江苏
85,688357.SH,李建波,李朝峰,李怡丹,5782.0,19980727,河南
86,603879.SH,傅文昌,陈志山,朱水宝,27938.88,20111010,福建
87,600928.SH,郭军,郭军,石小云,444444.4445,19970606,陕西
88,002936.SZ,王天宇,申学清,傅春乔,651412.509,19961116,河南
89,601107.SH,甘勇义,李文虎,张永年,305806.0,19970819,四川
90,300636.SZ,庞正伟,庞正伟,周志承,12861.992,20040420,江西
91,688333.SH,薛蕾,薛蕾,崔静姝,8000.0,20110706,陕西
92,300551.SZ,陈崇军,陈崇军,姜小丹,20275.2,19960708,上海
93,603931.SH,方伟华,方伟华,徐华,10181.55,20011017,浙江
94,603758.SH,YUANMING TANG,YUANMING TANG,张华鸣,43879.7049,19950905,重庆
95,300722.SZ,金卫平,袁有根,颜吉成,14560.0,20080505,江西
96,688289.SH,戴立忠,戴立忠,彭铸,40000.0,20080423,湖南
97,688118.SH,刘亚东,刘亚东,逯亚娟,9540.0,20030326,上海
98,002980.SZ,袁剑敏,袁剑敏,任欢,13333.34,19910326,广东
99,688288.SH,何军强,何军强,吕慧华,10000.0,20090611,浙江
100,002110.SZ,黎立璋,卢芳颖,胡红林,245157.6238,20011226,福建
101,300765.SZ,韩峰,韩峰,杜英,42000.0,20060405,河北
102,300843.SZ,黄福林,黄福林,郏建平,14890.0,20071214,广东
103,300660.SZ,苏建国,华荣伟,苏达,25937.222,20060429,江苏
104,605001.SH,孙汉本,卢芝坤,赵法森,30222.0,20071008,山东
105,300669.SZ,邹家春,邹家春,吴伟忠,11105.1892,20040414,浙江
106,002187.SZ,王华俊,钱圣山,钟芬,34242.2568,19900827,广东
107,300577.SZ,范劲松,范劲松,徐耘,21738.9926,20091113,安徽
108,002871.SZ,范庆伟,李会君,刘克平,11672.2,19950608,山东
109,300777.SZ,杨永岗,温月芳,魏星,40001.0,20080428,江苏
110,603890.SH,薛革文,薛革文,张振杰,38477.6,20110823,江苏
111,600375.SH,刘汉如,郑志强,李峰,55574.0597,19991212,安徽
112,600516.SH,党锡江,张天军,安民,380597.0368,19990118,甘肃
113,600403.SH,任春星,张林,张建强,239081.2402,19980115,河南
114,600521.SH,陈保华,陈保华,祝永华,145460.8047,20010228,浙江
115,600452.SH,杨作祥,马郭亮,周勇,43904.0,19991229,重庆
116,300727.SZ,叶剑平,叶剑平,徐小骏,12688.0,20001206,浙江
117,600397.SH,邹爱国,邹爱国,彭金柱,98995.9882,19991230,江西
118,600525.SH,吴启权,徐成斌,顾宁,130577.5152,19860627,广东
119,600031.SH,梁稳根,向文波,肖友良,847279.0381,19941122,北京
120,600030.SH,张佑君,杨明辉,王俊锋,1292677.6029,19951025,广东
121,600352.SH,阮伟祥,阮伟祥,姚建芳,325333.186,19980323,浙江
122,600114.SH,朱志荣,朱志荣,严丰慕,61645.4517,19940711,浙江
123,600470.SH,陈胜前,马健,邢金俄,52160.0,20001228,安徽
124,605288.SH,周荣清,周殊程,陆晓波,5000.0,19920827,江苏
125,600462.SH,肖自然,肖自然,李明,53378.0,19981030,广东
126,600515.SH,鲁晓明,陈德辉,黄尔威,390759.246,19930512,海南
127,600980.SH,夏晓鸥,罗秀建,冉红想,15520.988,20000906,北京
128,600517.SH,谭真勇,谭真勇,牛希红,571843.5744,19971114,上海
129,600545.SH,潘雪平,盛意平,曾正平,189541.2995,19930225,新疆
130,600990.SH,陈信平,张春城,王向新,15917.911,20000818,安徽
131,600370.SH,卞惠良,卞江峰,俞红霞,365716.6407,19940613,江苏
132,600584.SH,郑力,郑力,吴宏鲲,160287.4555,19981106,江苏
133,600571.SH,耿俊岭,李峰,叶晖,43927.7429,19960722,浙江
134,688027.SH,彭承志,赵勇,张军,8000.0,20090527,安徽
135,601128.SH,宋建明,庄广强,徐惠春,274085.5925,20011203,江苏
136,300701.SZ,单森林,张慧,邹洋,12000.0,20050818,河南
137,600416.SH,周健君,汤鸿辉,李怡文,94583.4325,19991226,湖南
138,600475.SH,蒋志坚,缪强,钟文俊,55939.2211,20001226,江苏
139,600349.SH,王建沂,俞志军,刘清,11896.1611,19980825,浙江
140,600481.SH,缪文彬,刘正宇,王磊,163229.5808,19951005,江苏
141,600557.SH,肖伟,肖伟,尹洪刚,59288.1038,19960508,江苏
142,600553.SH,姜长禄,范国良,郑宝金,38000.0,19930305,河北
143,002159.SZ,张泉,王栎栎,曹正,13866.6666,19890905,湖北
144,600348.SH,杨乃时,武学刚,王平浩,240500.0,19991230,山西
145,600426.SH,常怀春,常怀春,高文军,162665.975,20000426,山东
146,600537.SH,李静武,刘强,张婷,117635.9268,19980121,浙江
147,600526.SH,吴东明,张伟明,郭滢,54740.4672,20000430,浙江
148,600487.SH,尹纪成,尹纪成,蒋明,195276.3103,19930605,江苏
149,600446.SH,李结义,徐岷波,李结义,86044.0484,19980821,广东
150,688386.SH,张云,张云,邹东伟,7000.0,19951108,江苏
151,600039.SH,熊国斌,甘洪,周勇,370532.551,19991228,四川
152,600401.SH,邱新,邱新,问闻,472493.5152,19970718,江苏
153,000100.SZ,李东生,李东生,廖骞,1351927.9411,19820311,广东
154,600327.SH,高兵华,席国良,陈辉,88477.9518,19980120,江苏
155,600490.SH,楼定波,姚敬金,储越江,221288.7079,20000929,上海
156,600493.SH,陈澄清,陈锋,陈美珍,27200.0,19910411,福建
157,600511.SH,姜修昌,李辉,朱霖,75450.2998,19991221,北京
158,600527.SH,陶冶,陶冶,陆正中,173176.0902,19961125,江苏
159,600565.SH,罗韶颖,罗韶颖,王骏,256473.6284,19971009,重庆
160,600562.SH,胡明春,吴迤,薛海瑛,124185.784,19940628,江苏
161,600273.SH,韩建红,汪建平,马现华,143273.0543,19980403,浙江
162,600004.SH,邱嘉臣,王晓勇,戚耀明,206932.0514,20000919,广东
163,600547.SH,李国红,王培月,汤琦,433945.6283,20000131,山东
164,600597.SH,濮韶华,罗海,沈小燕,122448.7509,19961007,上海
165,600559.SH,刘彦龙,王占刚,刘勇,89728.7444,19991230,河北
166,600021.SH,王运丹,魏居亮,夏梅兴,261716.4197,19980604,上海
167,600026.SH,刘汉波,朱迈进,李倬琼,476269.1885,19960726,上海
168,600587.SH,许尚峰,王玉全,李财祥,40642.8091,19930418,山东
169,600595.SH,崔红松,张松江,杨萍,196122.4057,19970128,河南
170,600340.SH,王文学,吴向东,林成红,391393.4842,19930528,河北
171,300648.SZ,李有财,刘作斌,许龙飞,13540.0,20050124,福建
172,600531.SH,杨安国,李新战,苗红强,109024.2634,20000106,河南
173,600449.SH,尹自波,王玉林,武雄,47818.1042,19981204,宁夏
174,600507.SH,徐志新,常健,詹柏丹,215595.0223,19990916,江西
175,600438.SH,谢毅,郭异忠,严轲,428785.5684,19951208,四川
176,688188.SH,唐晔,卢琳,周荇,10000.0,20070911,上海
177,600505.SH,牟昊,古强,邝伟民,36456.75,19940618,四川
178,603826.SH,谢秉昆,谢秉昆,黄甜甜,46800.0,20051125,福建
179,600572.SH,胡季强,罗国良,金祖成,266732.02,19930109,浙江
180,600469.SH,王锋,王锋,刘新军,56241.3222,19981201,河南
181,600489.SH,卢进,赵占国,李跃清,484731.2564,20000623,北京
182,600988.SH,王建华,吕晓兆,周新兵,166391.1378,19980622,内蒙古
183,600502.SH,王厚良,许克顺,黄代,172116.0272,19980615,安徽
184,600429.SH,于永杰,张学庆,张娜,149755.7426,19970313,北京
185,600371.SH,沈志军,沈志军,沈志军,29257.8,19950913,黑龙江
186,600586.SH,王刚,曹廷发,董保森,142877.0,19991231,山东
187,600561.SH,王晓,胡维泉,吴隼,28447.68,19950310,江西
188,600491.SH,赖振元,赖朝辉,张丽,152975.7955,19950711,浙江
189,600423.SH,陆胜云,陆胜云,龙立萍,79869.5026,20010306,广西
190,688505.SH,王海波,王海波,薛燕,104300.0,19961111,上海
191,605198.SH,王安,张辉,王艳辉,37800.0,19960330,山东
192,600900.SH,雷鸣山,,李绍平,2269100.0,20021104,北京
193,600480.SH,信虎峰,牟月辉,翟斌,76534.0374,19950410,河北
194,600573.SH,刘翔宇,肖国锋,程晓梅,25000.0,19970204,福建
195,600963.SH,李战,李战,易兰锴,180505.3109,20000928,湖南
196,002001.SZ,胡柏藩,胡柏剡,石观群,214866.23,19990405,浙江
197,600495.SH,张朝宏,孔炯刚,韩秋实,120819.0886,20001227,山西
198,600478.SH,钟发平,刘彩云,潘立贤,165328.1386,19980124,湖南
199,600522.SH,薛济萍,陆伟,杨栋云,306613.589,19960209,江苏
200,600355.SH,张学阳,张学阳,张万宏,49208.92,19941214,湖北
201,600463.SH,王鹏,王鹏,刘彦明,30000.0,20000328,北京
202,688981.SH,周子学,,郭光莉,769846.2472,20000403,
203,600529.SH,扈永刚,张军,赵海宝,59496.7747,19931108,山东
204,600467.SH,唐传勤,唐传勤,李俊峰,146099.4304,19930107,山东
205,600459.SH,郭俊梅,潘再富,刚剑,43770.8011,20000925,云南
206,600435.SH,浮德海,张百锋,赵晗,148932.0,20000911,北京
207,600551.SH,王民,郑可,刘红,50582.5296,19991212,安徽
208,600591.SH,周赤,顾佳丹,徐骏民,130372.22,19981228,上海
209,600540.SH,马晓宏,陈建江,陈建江,47092.3313,19991222,新疆
210,600590.SH,李自强,李自强,罗新杰,86629.8784,19960320,江西
211,600184.SH,李克炎,陈良,袁勇,50876.0826,20000831,湖北
212,600496.SH,方朝阳,裘建华,沈月华,201287.4349,19990628,安徽
213,600050.SH,王晓初,,朱可炳,3101559.5487,20011231,北京
214,600592.SH,陈晋辉,陈晋辉,曾四新,39955.3571,19971224,福建
215,600960.SH,陈宝,林风华,袁春晖,95051.5518,19991231,山东
216,600012.SH,项小龙,唐军,董汇慧,165861.0,19960815,安徽
217,600432.SH,王金星,费洪国,王行龙,78359.9721,20001227,吉林
218,600485.SH,王靖,王靖,王铮,292374.2782,19951202,北京
219,600552.SH,夏宁,倪植森,王伟,76388.4003,20000930,安徽
220,600992.SH,王小刚,梁鹏,杨期屏,24509.0,20001019,贵州
221,600460.SH,陈向东,郑少波,陈越,131206.1614,19970925,浙江
222,600406.SH,冷俊,郑宗强,方飞龙,462194.0818,20010228,江苏
223,600357.SH,李怡平,牟文恒,王世杰,98066.704,19940618,河北
224,600035.SH,王南军,阮一恒,宋晓峰,161011.5901,20001122,湖北
225,600343.SH,朱奇,李彦喜,任随安,63820.6348,19991224,陕西
226,600503.SH,王伟林,王伟林,娄欣,160229.0,19961018,上海
227,600439.SH,郑有全,郑文青,胡丽平,113198.544,19991024,河南
228,600993.SH,陈平,夏有章,马倩,43105.3891,19940509,湖北
229,600476.SH,董志宏,张华,孟京京,16107.0,20001017,湖南
230,600477.SH,单银木,单际华,姚涛,215373.7411,20001228,浙江
231,600251.SH,刘中海,肖莉,金建霞,78484.2008,19991230,新疆
232,600563.SH,严春光,陈国彬,陈宇,22500.0,19981212,福建
233,600549.SH,黄长庚,吴高潮,周羽君,140604.62,19971230,福建
234,600020.SH,马沉重,王铁军,杨亚子,224737.1832,20001228,河南
235,600967.SH,李全文,魏晋忠,王彤,168963.1817,20001229,内蒙古
236,600479.SH,江端预,蹇顺,朱溧,41850.7117,19930813,湖南
237,600015.SH,李民吉,张健华,宋继清,1538722.3983,19921014,北京
238,600576.SH,燕东来,燕东来,王衡,61940.2409,19920924,浙江
239,600579.SH,白忻平,Michael Ruf,翟峰,73423.7993,19990630,山东
240,600570.SH,彭政纲,刘曙峰,屠海雁,104409.0754,20001213,浙江
241,600969.SH,范培顺,雷运明,吴荣,37005.0484,20001226,湖南
242,600271.SH,马天晖,陈荣兴,马振洲,185749.241,20001101,北京
243,600577.SH,李晓,陈彬,胡孔友,192140.5191,20000712,安徽
244,600538.SH,潘利斌,潘利斌,李勇,46440.1185,19930122,广西
245,600593.SH,杨子平,毛崴,杨子平,12880.0,19940118,辽宁
246,603357.SH,王吉双,徐宏光,毛洪强,45454.2698,19940311,安徽
247,300807.SZ,郭建国,郭建国,刘洪宇,6785.1,20040413,河南
248,300504.SZ,李世宏,白云波,陈思,26740.8,20010115,四川
249,688089.SH,易德伟,易德伟,王华标,12000.0,20040922,湖北
250,300811.SZ,杜江华,杜江华,阮佳林,5760.0,20090917,广东
251,300647.SZ,杜建军,杜建军,王军,35691.0612,20050427,广东
252,600433.SH,钟天崎,钟天崎,杨映辉,127131.5443,19930715,广东
253,300897.SZ,钱炳炯,季永聪,王雪洲,6800.0,19991108,浙江
254,600425.SH,郑术建,,姜军凯,137879.0086,20001117,新疆
255,300689.SZ,冯学裕,冯学裕,蒋伟红,6800.0,20060801,广东
256,300678.SZ,史志明,史志明,尹邦明,18000.0,20010626,四川
257,600029.SH,王昌顺,马须伦,谢兵,1532930.2395,19950325,广东
258,688156.SH,季光明,季光明,刘菁,9184.0,20060809,湖北
259,600976.SH,何勤,汪俊,周捷,15339.86,19930528,湖北
260,600560.SH,胡宇,杨光浩,胡邦周,22364.55,19991228,北京
261,600392.SH,胡泽松,黄平,郭晓雷,175516.7067,19980701,四川
262,600510.SH,戈亚芳,葛维龙,何晓晴,104709.5025,19930528,江苏
263,600497.SH,孙勇,孙成余,王小强,509129.1568,20000718,云南
264,002002.SZ,周奕丰,周奕丰,林少韩,258894.7997,19951206,江苏
265,603895.SH,荣俊林,荣俊林,吕爱华,10808.0,19960712,上海
266,603712.SH,王宝,庞辉,马海永,77200.0,20041028,天津
267,603976.SH,邓勇,邓勇,费世平,15120.0,19891027,重庆
268,688550.SH,刘晓春,刘骞峰,陈谦,7018.1579,19990415,陕西
269,603178.SH,罗玉龙,张文昌,张勇,20184.18,20070417,浙江
270,603679.SH,梁熹,梁熹,张辉,14289.31,20040521,四川
271,603121.SH,吴怀磊,吴怀磊,冯轲,25920.0,20060622,上海
272,003008.SZ,姚致清,李亚萍,张冉,8000.0,20050127,河南
273,605358.SH,王敏文,刘晓健,吴能云,40058.0,20020319,浙江
274,605255.SH,尤建义,尤建义,葛露雪,13408.0,20091113,浙江
275,300672.SZ,向平,向平,黄然,18031.7642,20080924,湖南
276,603855.SH,胡志荣,胡志荣,郑晓荣,33719.0,20101215,上海
277,688268.SH,石平湘,傅铸红,孟婷,12000.0,19990205,广东
278,603516.SH,何仕达,何仕达,付国义,13330.038,20110516,北京
279,002771.SZ,何小波,王小刚,李春友,20976.41,20000522,北京
280,688363.SH,赵燕,赵燕,蒋瑞,48000.0,20000103,山东
281,002338.SZ,孙守红,高劲松,高劲松,24000.0,20010626,吉林
282,300026.SZ,姚小青,郑丹,蓝武军,300415.4837,20000930,天津
283,002116.SZ,赵国昂,陈荣荣,林琳,41762.8938,19930217,上海
284,002331.SZ,李臻,廖凯,潘大圣,41207.2469,19990512,安徽
285,601958.SH,程方方,杨国平,尹战劳,322660.44,20070516,陕西
286,601038.SH,黎晓煜,刘继国,于丽娜,98585.0,19981228,河南
287,002088.SZ,鹿成滨,鹿超,刘兆红,36170.2033,19921014,山东
288,002332.SZ,张宇松,张宇松,张王伟,91621.2166,20000626,浙江
289,002303.SZ,王海鹏,王治军,刘会丰,153132.3685,20000517,广东
290,002337.SZ,张晓辰,史航,焦君涵,58861.575,19950216,天津
291,002377.SZ,王昕,吕华生,彭雅超,91632.5201,20020325,湖北
292,300114.SZ,康学军,刘东平,纪刚,59076.0499,20021225,陕西
293,600387.SH,王彬,程志伟,曾佳,47177.4464,19930726,浙江
294,002404.SZ,周国建,徐鸿,郑晓,57767.3641,19990329,浙江
295,688278.SH,孙黎,孙黎,孙志里,40680.0,19960807,福建
296,002320.SZ,叶伟,叶伟,叶伟,148595.5458,20021206,海南
297,300558.SZ,丁列明,丁列明,吴灵犀,40204.6429,20030107,浙江
298,002305.SZ,秦普高,钟永红,畅文智,173421.577,19980727,湖北
299,300900.SZ,王增夺,王增夺,吴铁华,15768.0,20110225,黑龙江
300,600546.SH,王为民,梁建光,钟晓强,198245.614,20001120,山西
301,300650.SZ,庄占龙,庄占龙,苏芳,10735.16,20070911,福建
302,600436.SH,刘建顺,黄进明,陈纪鹏,60331.721,19991228,福建
303,600409.SH,王春生,王铁英,刘印江,206434.9448,19991228,河北
304,003006.SZ,冯永林,冯永林,张黎,42777.78,20101129,重庆
305,300855.SZ,万柏方,万柏方,万捷,20000.0,19910528,江苏
306,300743.SZ,韩琼,韩琼,齐玲玲,9888.79,20020427,浙江
307,002896.SZ,岑国建,宋小明,伍旭君,8000.0,20060828,浙江
308,688069.SH,胡明明,胡明明,丁锡清,5947.0,20091210,江苏
309,605111.SH,朱袁正,朱袁正,肖东戈,10120.0,20130105,江苏
310,300880.SZ,章国耀,章恩友,李楠,13336.0,19990129,浙江
311,688600.SH,臧牧,臧牧,王胜芳,13334.0,20030626,安徽
312,603966.SH,金红萍,陶峰华,彭家辉,21097.96,20070619,江苏
313,600908.SH,邵辉,陶畅,孟晋,184829.5737,20050621,江苏
314,300710.SZ,许泉海,许泉海,郑静,6861.4,20010513,浙江
315,002966.SZ,王兰凤,赵琨,李伟,333333.3334,20041224,江苏
316,603885.SH,王均金,赵宏亮,徐骏民,196614.4157,20060323,上海
317,300643.SZ,张健儿,张健儿,李滨,20000.0,19931225,浙江
318,002900.SZ,秦剑飞,秦剑飞,赵庆福,31660.005,19960621,黑龙江
319,603960.SH,谈士力,谈士力,曹卫红,26094.45,20030530,上海
320,002948.SZ,郭少泉,王麟,吕岚,450969.0,19961115,山东
321,300828.SZ,国占昌,国占昌,王哲,11028.0,20041125,天津
322,600025.SH,袁湘华,孙卫,邓炳超,1800000.0,20010208,云南
323,601001.SH,武望国,朱海月,钱建军,167370.0,20010725,山西
324,002083.SZ,肖茂昌,吴明凤,彭仕强,90800.9936,19990811,山东
325,300091.SZ,季伟,季伟,陈树军,123026.4538,19930409,江苏
326,002450.SZ,冯文书,冯文书,韩静,354090.0282,20010821,江苏
327,002350.SZ,张新育,朱明,郭文亮,54236.9011,19930717,北京
328,002056.SZ,何时金,任海亮,吴雪萍,164360.0,19990330,浙江
329,002172.SZ,沈学如,沈学如,季超,77648.1362,20011022,江苏
330,002070.SZ,赵德永,陈锦堂,王忻,63525.8156,20020225,福建
331,002279.SZ,赵福君,施瑞丰,王海霞,71125.49,19990816,北京
332,002098.SZ,张国根,施明取,谢静波,35800.0,19920217,福建
333,600983.SH,艾小明,艾小明,方斌,76643.9,20000330,安徽
334,601333.SH,武勇,胡酃酃,唐向东,708353.7,19960306,广东
335,002085.SZ,陈滨,董瑞平,章银凤,218687.9678,20010930,浙江
336,002080.SZ,薛忠民,,陈志斌,167812.3584,20011228,江苏
337,002961.SZ,林志斌,葛昶,林娟,44500.0,19930324,福建
338,002044.SZ,俞熔,徐可,江维娜,391425.3923,19910122,江苏
339,601158.SH,王世安,郑如彬,吕祥红,480000.0,20010111,重庆
340,002168.SZ,汪超涌,王蔚,付汝峰,80192.9568,19990702,广东
341,002066.SZ,曾大凡,陈海山,邹琼慧,23100.0,20011230,北京
342,002146.SZ,耿建明,刘山,陈金海,434816.3851,19961230,河北
343,300152.SZ,毛军亮,程芳芳,宗冉,71280.0,20030617,河北
344,002489.SZ,谢建勇,谢建强,王洪阳,217573.6503,20010618,浙江
345,002843.SZ,方鸿,李辉,谢映波,21000.0,20031023,湖南
346,002114.SZ,李尤立,洪巩堤,杨忠明,32339.5267,20001221,云南
347,002115.SZ,李越伦,李越伦,任锋,71696.2919,19930513,浙江
348,601866.SH,王大雄,刘冲,蔡磊,1160812.5,20040303,上海
349,600482.SH,周宗子,,王善君,216068.1619,20000613,河北
350,600354.SH,马宗海,张绍平,顾生明,52780.208,19981228,甘肃
351,600284.SH,杨明,邱畅,朱音,97025.6,19980109,上海
352,002120.SZ,聂腾云,聂腾云,符勤,289924.7348,19960405,浙江
353,002148.SZ,傅乐民,傅乐民,黄潇,56577.3727,19971112,北京
354,002261.SZ,李新宇,李新宇,龙麒,110076.6874,19960520,湖南
355,002203.SZ,朱张泉,朱张泉,钱自强,195210.8464,20011029,浙江
356,002705.SZ,郭建刚,曾展晖,陈景山,80147.2885,19951211,广东
357,002232.SZ,郭永锋,陶晖,安威,40854.8455,20001025,吉林
358,600249.SH,林钻煌,吴堃,韦元贤,55000.0,19961205,广西
359,600444.SH,窦万波,章小浒,钱俊,14642.1932,19931230,安徽
360,603803.SH,高磊,高磊,王曙立,42105.5557,19990608,北京
361,600535.SH,闫凯境,朱永宏,于杰,151266.6229,19980430,天津
362,600351.SH,任武贤,任伟,任蓬勃,77000.0023,19990126,山西
363,600512.SH,杨九如,杨九如,王士金,159890.2832,19950821,浙江
364,601598.SH,李关鹏,宋嵘,李世础,740080.3875,20021120,北京
365,601577.SH,朱玉国,赵小中,杨敏佳,342155.3754,19970818,湖南
366,000875.SZ,高平,高平,赵民,214631.398,19971120,吉林
367,600532.SH,俞倪荣,俞倪荣,顾铁军,51606.572,19991230,上海
368,600499.SH,边程,杨学先,李跃进,188841.9929,19961211,广东
369,600408.SH,杨锦龙,郭全虎,郭全虎,100680.0,19930729,山西
370,600580.SH,陈建成,庞欣元,吴剑波,130794.2586,19981021,浙江
371,600513.SH,夏春来,吴文格,黄文韬,28799.037,20000222,江苏
372,600581.SH,沈东新,张春辉,樊国康,153289.787,20000727,新疆
373,600458.SH,杨军,彭华文,姜其斌,80279.8152,19940524,湖南
374,002327.SZ,林国芳,林国芳,龚芸,84302.389,19940811,广东
375,600353.SH,刘卫东,张纯,熊尚荣,54372.0,19940228,四川
